n_sim,gamma,mse,mse_se
1,0.11879959579309723,0.007058353013552015,0.0
1,0.11890908657721262,0.014536723785191058,0.0
1,0.1190186782727135,0.00685746261030801,0.0
1,0.11912837097260409,0.0078509383081266,0.0
1,0.11923816476997437,0.014054337673370807,0.0
1,0.11934805975800007,0.012211929755611577,0.0
1,0.11945805602994289,0.009565038275507046,0.0
1,0.11956815367915036,0.007157069570627221,0.0
1,0.11967835279905611,0.006978031843968162,0.0
1,0.11978865348317987,0.00733912305140096,0.0
1,0.11989905582512758,0.006804096604647769,0.0
1,0.12000955991859143,0.009273303827369805,0.0
1,0.12012016585734996,0.013482622137743828,0.0
1,0.12023087373526814,0.01051383098538678,0.0
1,0.12034168364629744,0.014313036201147636,0.0
1,0.12045259568447597,0.007236130955385093,0.0
1,0.12056360994392848,0.011619725842216738,0.0
1,0.12067472651886643,0.010387978037194042,0.0
1,0.12078594550358814,0.010262989817159188,0.0
1,0.12089726699247888,0.01766888527150423,0.0
1,0.12100869108001086,0.006532497484635233,0.0
1,0.12112021786074337,0.009712237775531507,0.0
1,0.12123184742932283,0.016920163638728964,0.0
1,0.12134357988048292,0.015284176719557575,0.0
1,0.12145541530904466,0.007147247944143446,0.0
1,0.1215673538099164,0.011982135543579395,0.0
1,0.12167939547809398,0.009514195888066722,0.0
1,0.12179154040866079,0.009487929173780104,0.0
1,0.12190378869678785,0.008483500996018902,0.0
1,0.12201614043773396,0.010258555374043014,0.0
1,0.1221285957268456,0.005969320494399872,0.0
1,0.12224115465955723,0.009149289917170064,0.0
1,0.1223538173313912,0.0070375242091612325,0.0
1,0.12246658383795787,0.011727801686915215,0.0
1,0.12257945427495587,0.010270776361631966,0.0
1,0.12269242873817185,0.013328381512845724,0.0
1,0.12280550732348085,0.01460290088357571,0.0
1,0.12291869012684621,0.009975349915548243,0.0
1,0.12303197724431975,0.008060819958321445,0.0
1,0.12314536877204185,0.008825554661288633,0.0
1,0.12325886480624143,0.008353505809249795,0.0
1,0.12337246544323612,0.012205419150969283,0.0
1,0.12348617077943233,0.01234760757285684,0.0
1,0.12359998091132529,0.011099100266436403,0.0
1,0.12371389593549927,0.007834980471716584,0.0
1,0.12382791594862741,0.014099875669186293,0.0
1,0.12394204104747204,0.006971364691419621,0.0
1,0.12405627132888465,0.010758348983956547,0.0
1,0.12417060688980594,0.009600541775451653,0.0
1,0.12428504782726608,0.01102660841265761,0.0
1,0.12439959423838456,0.013476514112578296,0.0
1,0.12451424622037043,0.006530257138436849,0.0
1,0.12462900387052227,0.008549359784952977,0.0
1,0.12474386728622837,0.009671596604405981,0.0
1,0.12485883656496685,0.0144727725100477,0.0
1,0.12497391180430556,0.0074433487623529705,0.0
1,0.12508909310190233,0.017681562043833053,0.0
1,0.12520438055550498,0.007908395703397061,0.0
1,0.12531977426295138,0.008151131105669979,0.0
1,0.1254352743221697,0.013050935176633447,0.0
1,0.1255508808311782,0.006556260532668309,0.0
1,0.12566659388808563,0.010053258998984418,0.0
1,0.12578241359109102,0.012653538017819689,0.0
1,0.12589834003848394,0.0033094054611406505,0.0
1,0.12601437332864468,0.007255960996308209,0.0
1,0.12613051356004407,0.007462890679649191,0.0
1,0.12624676083124367,0.011592512569291107,0.0
1,0.12636311524089597,0.006366951821372415,0.0
1,0.1264795768877444,0.01074424131008674,0.0
1,0.12659614587062323,0.010176224491283825,0.0
1,0.12671282228845804,0.007558986538469568,0.0
1,0.12682960624026543,0.0039833724250487755,0.0
1,0.12694649782515324,0.005666498450156282,0.0
1,0.12706349714232085,0.013429653291743289,0.0
1,0.12718060429105885,0.00839814892986133,0.0
1,0.1272978193707494,0.025755210468083573,0.0
1,0.12741514248086633,0.009771798867570777,0.0
1,0.1275325737209751,0.013191911814134292,0.0
1,0.1276501131907329,0.006501495314891168,0.0
1,0.12776776098988885,0.012103959052641005,0.0
1,0.1278855172182839,0.011952127107513416,0.0
1,0.12800338197585104,0.011509925168939217,0.0
1,0.12812135536261546,0.012989554917650034,0.0
1,0.12823943747869446,0.006818314990340654,0.0
1,0.12835762842429763,0.009140722886904182,0.0
1,0.12847592829972687,0.00685175991842687,0.0
1,0.12859433720537655,0.00735875218219454,0.0
1,0.12871285524173365,0.013063890736958038,0.0
1,0.12883148250937765,0.0130310613233784,0.0
1,0.1289502191089808,0.015111342849637761,0.0
1,0.12906906514130806,0.007999961636396729,0.0
1,0.1291880207072173,0.011855764580032117,0.0
1,0.12930708590765944,0.0079658415800198,0.0
1,0.12942626084367825,0.016497554251959628,0.0
1,0.1295455456164108,0.010715345543944672,0.0
1,0.12966494032708725,0.010178829998209207,0.0
1,0.1297844450770311,0.01638041817538932,0.0
1,0.1299040599676593,0.007902419184214282,0.0
1,0.13002378510048215,0.00975029860841826,0.0
1,0.13014362057710363,0.009463229254676957,0.0
1,0.13026356649922122,0.01035430226032676,0.0
1,0.13038362296862624,0.009872675188406226,0.0
1,0.13050379008720386,0.009471736593905697,0.0
1,0.130624067956933,0.00966122953685139,0.0
1,0.13074445667988668,0.018233986549048852,0.0
1,0.130864956358232,0.009905437726802201,0.0
1,0.13098556709423012,0.012151835435702666,0.0
1,0.1311062889902366,0.004584346673081343,0.0
1,0.13122712214870122,0.0235626974685385,0.0
1,0.13134806667216822,0.014497961371546401,0.0
1,0.13146912266327632,0.005649276144503523,0.0
1,0.13159029022475885,0.009725690108545758,0.0
1,0.1317115694594439,0.008144741817709555,0.0
1,0.13183296047025425,0.014232504482359052,0.0
1,0.1319544633602075,0.014308068501172218,0.0
1,0.1320760782324163,0.007990580141233635,0.0
1,0.13219780519008822,0.009851353781767817,0.0
1,0.1323196443365261,0.006890296846528928,0.0
1,0.13244159577512787,0.014208196989174186,0.0
1,0.13256365960938676,0.006764911399876589,0.0
1,0.13268583594289143,0.015618620143868233,0.0
1,0.13280812487932595,0.010823709838773586,0.0
1,0.13293052652247006,0.015512953303314491,0.0
1,0.13305304097619905,0.00930474730570456,0.0
1,0.133175668344484,0.011422722898066699,0.0
1,0.1332984087313917,0.015321495495924823,0.0
1,0.13342126224108505,0.012126103229003492,0.0
1,0.1335442289778228,0.00788533071057437,0.0
1,0.13366730904595983,0.020544771674213372,0.0
1,0.13379050254994718,0.009515737601900958,0.0
1,0.13391380959433222,0.004876670204181356,0.0
1,0.13403723028375863,0.006916920670175789,0.0
1,0.1341607647229665,0.01359950458017009,0.0
1,0.13428441301679253,0.014852522849694008,0.0
1,0.13440817527016996,0.006223331273865553,0.0
1,0.1345320515881288,0.008072893371993621,0.0
1,0.13465604207579587,0.011319411872705623,0.0
1,0.13478014683839482,0.012847178038461405,0.0
1,0.1349043659812463,0.01379522953367639,0.0
1,0.13502869960976804,0.009172638629929479,0.0
1,0.135153147829475,0.009275969093798039,0.0
1,0.13527771074597922,0.00791506620951527,0.0
1,0.13540238846499023,0.0060286141471572975,0.0
1,0.13552718109231487,0.007461378788331032,0.0
1,0.1356520887338576,0.010920661902016075,0.0
1,0.1357771114956204,0.016357610795654925,0.0
1,0.13590224948370302,0.0070541611367842,0.0
1,0.13602750280430298,0.011208886340123866,0.0
1,0.13615287156371558,0.008047756023063896,0.0
1,0.1362783558683342,0.009331279460186085,0.0
1,0.13640395582465026,0.010734842860229028,0.0
1,0.1365296715392533,0.00814352719416733,0.0
